80
Winer           Loser
ыва              фыва
фв                фва
ыва               фва
фва               ыва
фыафыа            ыав
ыва               чсм
чсм               ыва
а                  фв
ва               фыва
Я                друг
а                 выа
выа              ываф
выа            фыафыа
выа              ываф
выа              фыва
фыва             фавф
выа            фывафы
выа             ыфваф
First          Second
sdaf             asdf
asdf              sdf
sdaf             asdf
fdg              sdaf
sdf              asdf
sadf              sdf
sdf              asdf
sadf             asdf
sadf             sadf
First          Second
fd           Computer
First          Second
fd           Computer
First          Second
second       Computer
First          Second
second       Computer
First          Second
First          Second
First          Second
First          Second
sdfsaf       Computer
First          Second
First          Second
First          Second
sdfasdf      Computer
First          Second
First          Second
First          Second
First          Second
First          Second
First          Second
saf          Computer
First          Second
First          Second
ds           Computer
First          Second
First          Second
First          Second
First          Second
First          Second
First          Second
sdf          Computer
First          Second
sad          Computer
First          Second
First          Second
First          Second
First          Second
First          Second
First          Second
First          Second
First          Second
First          Second
asdf         Computer
First          Second
First          Second
sf           Computer
First          Second
First          Second
First          Second
